Year,GDP,Imports of goods and services,Trade (% of GDP),Net foreign assets,Final consumption expenditure,Net primary income (Net income from abroad),Inflation,Tax revenue,"Foreign direct investment, net inflows (% of GDP)",Exports of goods and services,CO2 emissions (kt),Taxes on international trade
1974,793778760988,47790000000,10.85189025,4743568662,716294328818,-2910000000,16.66751573,64940000000,0.0572413818,38350000000,231992.755,15030000000
1975,852124496862,56640000000,12.29397821,6971063007,743242234000,-2550000000,-1.64868155,76900000000,-0.01048639531,48120000000,252201.592,14890000000
1976,918116831146,56140000000,12.80120307,19699677065,778464469284,-2330000000,5.981859342,84300000000,-0.007502573287,61390000000,263785.645,16880000000
1977,1040235198686,65170000000,12.64810114,39212782712,888839769194,-2330000000,5.637229339,89430000000,-0.02968210943,66400000000,279051.366,18790000000
1978,1126713683357,74230000000,12.90301184,51929168558,968842273583,-1560000000,2.460282317,104810000000,0.0131754997,71150000000,283096.067,23680000000
1979,1235621792693,100940000000,14.91880453,58313251926,1058823444629,1530000000,15.72804321,119720000000,0.03174682984,83400000000,296891.321,29240000000
1980,1470628683724,135960000000,15.38457685,43510681059,1286770989450,3450000000,11.50832081,132740000000,0.04248482667,90290000000,314016.211,35060000000
1981,1727755053221,148090000000,14.50726476,27759439500,1481871424478,400000000,10.82758198,159190000000,0.0475061813,102560000000,338838.134,43910000000
1982,1932545634079,157360000000,14.12592775,9278517168,1648837126360,-6340000000,8.095863097,179130000000,0.03591158992,115630000000,349637.449,53360000000
1983,2250742389632,176750000000,13.69059389,2198988949,1927442391308,-9440000000,8.552859607,208610000000,0.002584047079,131390000000,378669.088,57470000000
1984,2521882497861,194840000000,14.00937594,12627349362,2142604630069,-14240000000,7.923232845,234700000000,0.009068702884,158460000000,388118.947,70410000000
1985,2845340853904,217540000000,12.90003619,11930217795,2387500138873,-14290000000,7.193785446,286680000000,0.04562777652,149510000000,426673.785,95260000000
1986,3183659412846,223590000000,12.2192719,14136970094,2696858031591,-18050000000,6.789400453,331970000000,0.04728378415,165430000000,457571.927,118340000000
1987,3618647035299,252590000000,12.58481404,13360586820,3017177823094,-26190000000,9.327893305,376640000000,0.07609119905,202810000000,488481.07,137030000000
1988,4293629901196,320100000000,13.49045012,17490010950,3508921245102,-44960000000,8.232515365,444680000000,0.0307664821,259130000000,527563.956,158050000000
1989,4932776135721,402120000000,15.16813209,20868792830,3933156590485,-57310000000,8.436808873,516380000000,0.08515673371,346090000000,579008.299,180360000000
1990,5761092055693,486980000000,15.50626151,58250490934,4514427769702,-75450000000,10.66830385,575740000000,0.07374002054,406350000000,562480,206440000000
1991,6622604835400,562490000000,16.98772655,63101794674,5172042462900,-100770000000,13.75181894,673580000000,0.02722554018,562540000000,607340,222560000000
1992,7611959317400,730000000000,18.43309904,88634464875,5835281209700,-116450000000,8.96515236,746370000000,0.09594182884,673120000000,630260,237760000000
1993,8759924253800,859990000000,19.65153979,229083933668,6697331937800,-120800000000,9.861782853,747680000000,0.1970561625,861470000000,652470,221930000000
1994,10275700589300,1047100000000,20.07814438,563555332430,7735203514900,-130830000000,9.980044775,922940000000,0.2973859089,1016070000000,687950,267890000000
1995,12055826758200,1449530000000,22.86744871,610575044046,8950333599500,-134840000000,9.06270222,1112370000000,0.5949862584,1307330000000,741100,357570000000
